HEADER
VTF File Version,1.0
VTF File Type,0
PID,1687471
Generated on,2023-11-24 15:30:12
Resolution,ms
Min Resolution,ns
Trace Version,1.0
XRT Version,2023.1

STRUCTURE
Group_Start,Native API Host Trace
Dynamic_Row,1,Native XRT API Calls,API Events
Group_Start,Host to Device Data Transfers
Dynamic_Row,2,Reads,Read Transfers
Dynamic_Row,3,Writes,Write Transfers
Group_End,Host to Device Data Transfers
Group_End,Native API Host Trace

MAPPING
718,0,919.403533,1,API_CALL,34
719,0,919.403563,3,API_CALL,35
720,718,923.331983,1,API_CALL,34
721,719,923.331983,3,API_CALL,35
723,0,923.344178,1,API_CALL,29
724,723,923.344276,1,API_CALL,29
725,0,923.346276,1,API_CALL,29
726,725,923.346315,1,API_CALL,29
727,0,923.352398,1,API_CALL,29
728,727,923.352451,1,API_CALL,29
729,0,923.353822,1,API_CALL,29
730,729,923.353858,1,API_CALL,29
732,0,923.367844,1,API_CALL,40
733,732,923.380858,1,API_CALL,40
734,0,923.388150,1,API_CALL,29
735,734,923.388293,1,API_CALL,29
736,0,923.389746,1,API_CALL,29
737,736,923.389780,1,API_CALL,29
739,0,923.393044,1,API_CALL,29
740,739,923.393080,1,API_CALL,29
741,0,923.394444,1,API_CALL,29
742,741,923.394479,1,API_CALL,29
743,0,923.398004,1,API_CALL,34
744,0,923.398038,3,API_CALL,35
745,0,923.421522,1,API_CALL,34
746,0,923.421550,3,API_CALL,35
748,743,923.430051,1,API_CALL,34
749,744,923.430051,3,API_CALL,35
751,746,923.439457,3,API_CALL,35
750,745,923.439457,1,API_CALL,34
753,0,923.446651,1,API_CALL,29
754,753,923.446758,1,API_CALL,29
755,0,923.448502,1,API_CALL,29
756,755,923.448538,1,API_CALL,29
757,0,923.452954,1,API_CALL,29
758,757,923.452990,1,API_CALL,29
759,0,923.454195,1,API_CALL,29
760,759,923.454231,1,API_CALL,29
762,0,923.469319,1,API_CALL,40
763,762,923.477342,1,API_CALL,40
764,0,923.487943,1,API_CALL,29
765,764,923.487999,1,API_CALL,29
766,0,923.489539,1,API_CALL,29
767,766,923.489577,1,API_CALL,29
769,0,923.497133,1,API_CALL,29
770,769,923.497181,1,API_CALL,29
771,0,923.498312,1,API_CALL,29
772,771,923.498345,1,API_CALL,29
773,0,923.503210,1,API_CALL,34
774,0,923.503239,2,API_CALL,43
776,773,923.517952,1,API_CALL,34
777,774,923.517952,2,API_CALL,43
779,0,923.526641,1,API_CALL,29
780,779,923.526733,1,API_CALL,29
781,0,923.528196,1,API_CALL,29
782,781,923.528232,1,API_CALL,29
783,0,923.533956,1,API_CALL,29
784,783,923.534173,1,API_CALL,29
785,0,923.535477,1,API_CALL,29
786,785,923.535513,1,API_CALL,29
788,0,923.538314,1,API_CALL,29
789,788,923.538353,1,API_CALL,29
790,0,923.539440,1,API_CALL,29
791,790,923.539478,1,API_CALL,29
793,0,923.547385,1,API_CALL,34
794,0,923.547412,2,API_CALL,43
796,793,923.560813,1,API_CALL,34
797,794,923.560813,2,API_CALL,43
799,0,923.575976,1,API_CALL,29
800,799,923.576097,1,API_CALL,29
801,0,923.577361,1,API_CALL,29
802,801,923.577400,1,API_CALL,29
805,0,923.950158,1,API_CALL,19
806,0,924.061954,1,API_CALL,19
807,703,983.386619,1,API_CALL,19
808,0,983.399939,1,API_CALL,20
809,808,983.459418,1,API_CALL,20
812,704,983.752356,1,API_CALL,19
813,0,983.764914,1,API_CALL,20
814,813,983.814968,1,API_CALL,20
817,0,983.965721,1,API_CALL,22
818,817,983.994266,1,API_CALL,22
825,0,984.010575,1,API_CALL,22
826,825,984.023858,1,API_CALL,22
833,0,984.033056,1,API_CALL,22
834,833,984.045562,1,API_CALL,22
853,0,984.140636,1,API_CALL,34
854,0,984.140665,3,API_CALL,35
855,0,984.151063,1,API_CALL,29
856,855,984.151303,1,API_CALL,29
857,0,984.156181,1,API_CALL,29
858,857,984.156241,1,API_CALL,29
859,0,984.158594,1,API_CALL,29
860,859,984.158654,1,API_CALL,29
869,0,984.190502,1,API_CALL,29
870,869,984.190869,1,API_CALL,29
871,0,984.194158,1,API_CALL,29
872,871,984.194215,1,API_CALL,29
874,0,984.200459,1,API_CALL,34
875,0,984.200484,3,API_CALL,35
877,853,984.210622,1,API_CALL,34
878,854,984.210622,3,API_CALL,35
879,874,984.223062,1,API_CALL,34
880,875,984.223062,3,API_CALL,35
882,0,984.230568,1,API_CALL,29
883,882,984.230634,1,API_CALL,29
884,0,984.232390,1,API_CALL,29
885,884,984.232424,1,API_CALL,29
886,0,984.239444,1,API_CALL,29
887,886,984.239556,1,API_CALL,29
888,0,984.240624,1,API_CALL,29
889,888,984.240663,1,API_CALL,29
891,0,984.255478,1,API_CALL,40
892,891,984.267999,1,API_CALL,40
894,0,984.334941,1,API_CALL,29
895,894,984.335077,1,API_CALL,29
896,0,984.336817,1,API_CALL,29
897,896,984.336849,1,API_CALL,29
899,0,984.341257,1,API_CALL,29
900,899,984.341297,1,API_CALL,29
901,0,984.342461,1,API_CALL,29
902,901,984.342497,1,API_CALL,29
903,0,984.347114,1,API_CALL,34
904,0,984.347143,2,API_CALL,43
906,904,984.363070,2,API_CALL,43
905,903,984.363070,1,API_CALL,34
908,0,984.371465,1,API_CALL,29
909,908,984.371542,1,API_CALL,29
910,0,984.372879,1,API_CALL,29
911,910,984.372914,1,API_CALL,29
913,0,984.513004,1,API_CALL,22
914,0,984.537484,1,API_CALL,19
915,913,984.542899,1,API_CALL,22
920,806,984.554039,1,API_CALL,19
922,0,984.566289,1,API_CALL,20
924,922,984.603077,1,API_CALL,20
927,0,984.852696,1,API_CALL,22
928,0,984.862179,1,API_CALL,22
929,927,984.870507,1,API_CALL,22
936,0,984.886237,1,API_CALL,22
937,928,984.888420,1,API_CALL,22
943,805,984.899202,1,API_CALL,19
942,936,984.911386,1,API_CALL,22
945,0,984.921905,1,API_CALL,20
951,0,984.946998,1,API_CALL,22
962,945,984.966863,1,API_CALL,20
963,951,984.967890,1,API_CALL,22
966,0,984.984360,1,API_CALL,29
968,966,984.987016,1,API_CALL,29
969,0,984.989521,1,API_CALL,29
970,969,984.989588,1,API_CALL,29
973,0,984.996301,1,API_CALL,29
974,973,984.996340,1,API_CALL,29
975,0,984.997930,1,API_CALL,29
976,975,984.997965,1,API_CALL,29
977,0,985.002787,1,API_CALL,34
978,0,985.002828,3,API_CALL,35
983,978,985.017151,3,API_CALL,35
982,977,985.017151,1,API_CALL,34
987,0,985.034284,1,API_CALL,34
988,0,985.034318,3,API_CALL,35
991,987,985.045359,1,API_CALL,34
992,988,985.045359,3,API_CALL,35
995,0,985.066888,1,API_CALL,29
998,995,985.068618,1,API_CALL,29
999,0,985.080011,1,API_CALL,29
1000,999,985.080119,1,API_CALL,29
1002,0,985.085649,1,API_CALL,29
1003,1002,985.085698,1,API_CALL,29
1004,0,985.086908,1,API_CALL,29
1005,1004,985.086964,1,API_CALL,29
1006,0,985.089744,1,API_CALL,34
1007,0,985.089769,3,API_CALL,35
1008,1006,985.101382,1,API_CALL,34
1009,1007,985.101382,3,API_CALL,35
1013,0,985.120300,1,API_CALL,29
1015,1013,985.120380,1,API_CALL,29
1014,0,985.123310,1,API_CALL,22
1016,0,985.123787,1,API_CALL,29
1017,1016,985.123848,1,API_CALL,29
1018,0,985.129468,1,API_CALL,29
1019,1018,985.129531,1,API_CALL,29
1020,0,985.131007,1,API_CALL,29
1021,1020,985.131062,1,API_CALL,29
1023,0,985.146473,1,API_CALL,29
1025,1023,985.146567,1,API_CALL,29
1026,1014,985.148099,1,API_CALL,22
